"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","South-East - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","South-West - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","National - all residential properties","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","National - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","National - apartments","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Dublin - all residential properties","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Dublin - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Dublin - apartments","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Dublin City - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Dun Laoghaire-Rathdown - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Fingal - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","South Dublin - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","National excluding Dublin - all residential properties","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","National excluding Dublin - houses","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","National excluding Dublin - apartments","%","-3.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Border - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Midland - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","West - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Mid-East - houses","%","-1.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","Mid-West - houses","%","-3"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","South-East - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M02","South-West - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","National - all residential properties","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","National - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","National - apartments","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Dublin - all residential properties","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Dublin - apartments","%","4.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Dublin City - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Dun Laoghaire-Rathdown - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Fingal - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","South Dublin - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","National excluding Dublin - all residential properties","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","National excluding Dublin - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","National excluding Dublin - apartments","%","-3.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Border - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Midland - houses","%","-2.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","West - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Mid-East - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","Mid-West - houses","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","South-East - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M03","South-West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","National - all residential properties","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","National - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","National - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Dublin - all residential properties","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Dublin - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Dublin - apartments","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Dublin City - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Dun Laoghaire-Rathdown - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Fingal - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","South Dublin - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","National excluding Dublin - all residential properties","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","National excluding Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","National excluding Dublin - apartments","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Border - houses","%","-2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Midland - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Mid-East - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","Mid-West - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","South-East - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020M04","South-West - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M05","National - all residential properties","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M05","National - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020M05","National - apartments","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020M05","Dublin - all residential properties","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M05","Dublin - houses","%","-1.1"
